lr,weight_decay,alpha,beta,mean_Val_AUQC,mean_AUUC,mean_AUQC,mean_Lift,mean_KRCC,mean_ATE_Err,std_Val_AUQC,std_AUUC,std_AUQC,std_Lift,std_KRCC,std_ATE_Err
5e-05,1e-05,0.5,1.0,0.8590330424288231,0.7602136102168638,0.7606898962630619,0.0063288272358477116,0.12891386908678765,0.16130752861499786,0.08090730143842581,0.12724897118899903,0.13076119075052298,0.0018756354056660713,0.05006557257850956,0.23526988923549652
5e-05,1e-05,1.0,1.0,0.8565908380672969,0.7573926860481651,0.7577228119213999,0.006304148584604263,0.13245252105023575,0.15552392601966858,0.07887292784279964,0.13456725027502284,0.13784721987681808,0.001092207836252566,0.06371941139908652,0.22535677254199982
5e-05,1e-05,0.1,1.0,0.8630548747508531,0.7524715197962947,0.7528665264526928,0.005660775862634182,0.12960793521026287,0.16531041264533997,0.07978324921584766,0.13285578366972015,0.13651412582807676,0.001021129024757582,0.041581123641766304,0.2409243881702423
0.0005,0.0001,1.0,1.0,0.8381788298639465,0.7508747023684622,0.751837629008468,0.005720421206206083,0.10982626913299898,0.15553146600723267,0.12614613469322639,0.14958181158632414,0.152462625947378,0.001657568883357431,0.060094254569155,0.2563225328922272
0.0005,0.0001,0.5,1.0,0.8383968909064731,0.7503525702594966,0.7514728630114678,0.0058054887689650055,0.10707304747511663,0.15597480535507202,0.11757965588531762,0.15359677466678928,0.1564423007425105,0.0013098548349194815,0.0639068016519059,0.25497135519981384
5e-05,0.0001,1.0,1.0,0.8542612069365362,0.747925411021083,0.748753618148676,0.0060953590087592605,0.11595235735409326,0.1654004603624344,0.0756161119935151,0.11693574833920456,0.12024302712957152,0.0016557652974910333,0.06703906977030288,0.24240073561668396
0.0005,0.0001,0.1,1.0,0.834758592740626,0.7452836814477635,0.7464250404119656,0.005477731116116047,0.10492901240099299,0.15654154121875763,0.11003870657880703,0.16115613578587448,0.16404078001266076,0.0016642774158405634,0.05920025665647924,0.2544232904911041
0.0001,0.0001,1.0,1.0,0.8436892436167108,0.7425987094884906,0.7431393709893354,0.005642342660576105,0.13073537585559517,0.17043398320674896,0.07630012312981128,0.13093810661056207,0.13442966053805097,0.0011623657895229397,0.06800845417119399,0.24673298001289368
5e-05,0.0001,1.0,0.5,0.8389764235550932,0.7423467546691942,0.7419955985576698,0.006073404103517532,0.12192667441274999,0.04704862833023071,0.08951219336749835,0.15865242089720358,0.16041600932416136,0.0025621394824948897,0.06815403322998694,0.04852345213294029
5e-05,0.0001,0.5,1.0,0.8561077083682586,0.7405674353314688,0.7413252014486628,0.005441761389374733,0.12204930506319726,0.16512984037399292,0.07621683128326556,0.12462925665251626,0.12837535606348116,0.0010876926224070735,0.06459548164004683,0.23900285363197327
0.0001,0.0001,0.5,1.0,0.8477123900299206,0.7385372254221777,0.739333352566978,0.005639716796576977,0.12160454916712382,0.1716407984495163,0.07918384516741225,0.13343946470353887,0.13746806646524418,0.0015563938201606392,0.055517717454746936,0.24734431505203247
5e-05,0.0001,0.1,1.0,0.8585032849081855,0.7371946831427454,0.7378041992639551,0.0059916297905147076,0.10080886803533536,0.1668456345796585,0.07662438787304468,0.12730245713689475,0.13078004977654198,0.0011716241254871554,0.050071061275341014,0.23949076235294342
5e-05,1e-05,1.0,0.5,0.8415391263173483,0.7380586415461045,0.7377901824520077,0.006030647270381451,0.10789905281756078,0.042702816426754,0.09245537244828465,0.16391202574261524,0.16552720219953265,0.0029535743168659636,0.07082673000023706,0.042595017701387405
