Seed,AUUC,AUQC,Lift,KRCC
<<<<<<< HEAD
412312,0.4624585630448831,0.46068870266863915,0.30098020776001433,-0.051695931081260575
42,0.47004646288814994,0.46830711753917803,0.03990219042315535,-0.032933145836935906
1874,0.45242587929976413,0.4508706015731097,0.10732282272358895,-0.044232544353627265
902745,0.44888418691426113,0.4477508738483894,0.3377028487389496,-0.0006543009106676008
1,0.4534046199355659,0.4521275642027134,0.14392339298337797,-0.03759856727469663
=======
412312,0.46245856304488314,0.46068870266863926,0.30014733557603246,-0.051695931081260575
42,0.47004646288815,0.46830711753917803,0.03990219042315535,-0.032933145836935906
1874,0.45242587929976413,0.4508706015731097,0.10641753205596993,-0.044232544353627265
902745,0.4488841869142611,0.44775087384838946,0.3377028487389495,-0.0006543009106676008
1,0.4534046199355659,0.4521275642027134,0.14483415274675038,-0.03759856727469663
>>>>>>> b54ce461a031fa29d60c731d2bc3df3396ad69f3
