Seed,AUUC,AUQC,Lift,KRCC
412312,0.5814785276481194,0.5830646168499755,0.00896390326541608,0.07278354583785779
42,0.5853560695821216,0.5869137098945841,0.008044424580325171,0.11805199074311684
1874,0.5782527972162724,0.5796127702320965,0.008884612038970077,0.09931682915889238
902745,0.5813499081901877,0.582105411272701,0.009015768419936633,0.08866491170965943
1,0.5786510053635157,0.5803491717039216,0.010006679093350457,0.06818126690699797
