seed,val_best_auqc,test_auuc,test_auqc,test_lift,test_krcc,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.6860615906440476,0.5446389273246253,0.5423238404531889,0.43128732414585125,0.02772781884070773,110,0.0018869460761386848,5,39,10,0.9235661205505714,0.9861281932139658
42,0.6256739687364069,0.3772605027762502,0.3761063010777702,0.7192138569937371,0.001886288882930335,498,0.017980045434379692,12,11,130,0.8811321081835722,0.6220455491055654
1874,0.5513617712509559,0.5251923938080081,0.5257635946446612,0.6041714529743065,0.022489969497999557,54,0.054381301730826004,6,113,10,0.7888819274320988,0.9419309757205332
902745,0.5748609362064405,0.45838202516555593,0.45552870224251585,0.7134634258701519,0.009619437048111296,118,0.0015195490778562514,5,22,14,0.8081760631504538,0.5972778606660081
1,0.7353185984328485,0.6972778675373876,0.7058251196319187,1.0242126582829236,0.13160076846020727,218,0.09957910322345583,10,62,10,0.8947138733855855,0.9998411749090302
