seed,val_best_auqc,test_auuc,test_auqc,test_lift,test_krcc,n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree
412312,0.738425677195814,0.5392976157828235,0.5374390347942698,0.009207871797799853,0.07852745485581823,175,0.002627708689529481,5,11,26,0.8276049367488081,0.6807282998860673
42,0.8376791053004545,0.5317056176310023,0.5303463976432853,0.008527539565059597,0.05506629323567823,138,0.001039117043699034,8,10,76,0.7167460909982959,0.6112274115219707
1874,0.7549496602902062,0.5590545313240036,0.5584946250969616,0.007987103631724958,0.09913035470635187,390,0.0016214657718465273,6,10,127,0.9535092340591085,0.5560464468586278
902745,0.7061152251695867,0.49347457095696423,0.4922818298476897,0.007379287379287379,-0.022935221851858586,290,0.03326079146302739,3,114,183,0.6864239244538266,0.7640127934772989
1,0.7235605597624665,0.5246838454705095,0.5237867349029944,0.0072992700729927005,0.04279192758436172,87,0.0026603452726082937,3,42,187,0.6069476655645095,0.9304830483984978
