lr,weight_decay,method,alpha,mean_Val_AUQC,mean_AUUC,mean_AUQC,mean_Lift,mean_KRCC,mean_ATE_Err,std_Val_AUQC,std_AUUC,std_AUQC,std_Lift,std_KRCC,std_ATE_Err
0.0005,0.0001,mmd_rbf,0.5,0.8051653420246279,0.7702538481331993,0.7682452728554495,0.00636649876832962,0.122768151903459,0.03763661906123161,0.10847984668146776,0.10991521032822849,0.11105555715853732,0.0013675226835531266,0.06689650502681599,0.01895005814731121
0.0005,0.0001,mmd_rbf,1.0,0.8050772426620647,0.7701034835025723,0.7681551582574693,0.006375723052769899,0.12184513038069678,0.03765042871236801,0.10483797309488255,0.10807537633077396,0.10926123169342396,0.0013719079281986556,0.05982789623221882,0.018994061276316643
0.0005,0.0001,mmd_rbf,0.1,0.8065598423851587,0.7683259083861066,0.7663787975068569,0.006355938781052828,0.1142936635366755,0.037604209035634995,0.1099282958200977,0.10930789558182406,0.110510744221712,0.0015880944290710469,0.05910436713245071,0.018886569887399673
0.0005,1e-05,mmd_rbf,0.5,0.7994207291325296,0.7533286433548747,0.7507468191929355,0.005795749556273222,0.14287782374008653,0.04635269194841385,0.10320164940342515,0.14698248993664337,0.14807499947449151,0.00232203565663614,0.09686672641806385,0.03903423249721527
0.0005,1e-05,mmd_rbf,0.1,0.7973548979320524,0.7502386338742021,0.7477644732246012,0.0058050742372870445,0.13061328972569544,0.0463317409157753,0.10960259695670192,0.1457414547539967,0.14684986750281082,0.0023184126842461356,0.08146943076305566,0.03900302201509476
0.0005,1e-05,mmd_rbf,1.0,0.8014200171757221,0.7427939609307103,0.7406124777216029,0.0059928794391453264,0.11585305163339077,0.04749005287885666,0.10559468082730368,0.14822149975046345,0.14951976191935293,0.0024684656403067755,0.07883872589138267,0.037581074982881546
0.001,1e-06,mmd_rbf,0.1,0.7732578065272382,0.7338295560474272,0.7307111991998612,0.005698999855667353,0.11967993956965743,0.04415066912770271,0.08415944291850846,0.19762597112471056,0.19862348687020137,0.00169668930720992,0.06511826110982065,0.03153114393353462
0.001,1e-05,mmd_rbf,1.0,0.7773591989582563,0.7287807511676463,0.7258984490383683,0.006227251794189215,0.12114110284067592,0.046075489372015,0.0814036924320116,0.1846285380468208,0.18620491604177125,0.0014194549422201282,0.09913693979211823,0.031274911016225815
0.001,1e-05,mmd_rbf,0.5,0.7739215637540958,0.7274398516491706,0.7245222362788638,0.006424222886562347,0.12203128632358551,0.04611331969499588,0.08186775364504696,0.18326717762031938,0.18482116145815256,0.0016514333091826726,0.08979707027425458,0.03134910389780998
0.001,1e-05,mmd_rbf,0.1,0.7724984319786545,0.7254293014748099,0.7225241540992318,0.00640587043017149,0.09892844360458518,0.04609525948762894,0.08081124655313454,0.18515558344406388,0.18666891167564043,0.0019909530053485876,0.10050020098497542,0.03131524473428726
0.001,1e-06,mmd_rbf,1.0,0.7709360000830928,0.7218474836712877,0.7190076704487073,0.00600693179294467,0.12875938875111104,0.04533388465642929,0.08695282199908193,0.19446173276042567,0.19573654443668204,0.001774750430538258,0.0941930443642259,0.029881274327635765
0.001,1e-06,mmd_rbf,0.5,0.771433688428785,0.7184891989558444,0.7156888333968742,0.006113248411566019,0.10583960434766566,0.04528620466589928,0.08223024311895853,0.19658988900219435,0.19783416013153565,0.0018678138359290437,0.09079011821953492,0.029757369309663773
0.0005,1e-05,mmd_linear,0.5,0.7726389540992764,0.7139948173448596,0.7133427764435819,0.006596384663134813,0.10200931822818689,0.042642854154109955,0.1025350543244302,0.13370011178614666,0.13634053256193981,0.0019069596080027932,0.057161988265854495,0.03100672736763954
0.0005,1e-06,mmd_linear,0.5,0.7795852849928258,0.7068713174962392,0.706164499812108,0.006713189277797937,0.10793676784808381,0.0408954992890358,0.09473195530776535,0.13803178421121856,0.14055374116940145,0.0018991786247730153,0.07091846502523257,0.028719987720251083
0.001,1e-06,mmd_linear,1.0,0.8140162458337639,0.6848721382845108,0.6833836291633919,0.004844929091632366,0.09534649364677639,0.019274752587080002,0.16282813975709667,0.20446862983392397,0.2059011391185792,0.002681742441354621,0.11765842867073822,0.021304098889231682
0.0005,1e-06,mmd_rbf,1.0,0.8002868231811258,0.6849062921159892,0.6817263346015341,0.005236038565635681,0.09143037926529306,0.050201017409563065,0.10520265076546197,0.19501046377690862,0.19618002875813256,0.0021442924252112533,0.08139982730238066,0.03615458682179451
0.0005,1e-06,mmd_linear,0.1,0.7736719615675021,0.6823791654120772,0.6805303911368258,0.006568044144660235,0.08254267402771086,0.04303949698805809,0.08018615941596445,0.21908406352481424,0.2202934354900694,0.002462651284309123,0.1004622917296012,0.02356312982738018
5e-05,0.0001,mmd_rbf,0.1,0.8358654798684093,0.6827344559539144,0.6794390217755173,0.006757574062794447,0.09141523467190207,0.032412074506282806,0.052643508877818636,0.058609794931092835,0.0578523466065318,0.0015123886959950339,0.030891572489871063,0.0180498193949461
0.0005,1e-06,mmd_rbf,0.5,0.7996166583935705,0.6813525053953515,0.6782106124475885,0.005050852429121733,0.10330774964051251,0.050156086683273315,0.10465097715118662,0.198643996846585,0.19975049678400875,0.002518229452515463,0.10186964532427131,0.03616529703140259
0.001,0.0001,mmd_linear,0.1,0.7938525677449303,0.679413534933314,0.6776916891418681,0.0059801447205245495,0.06771065910625274,0.03396082669496536,0.055567540784080716,0.1663114610255003,0.16749472257051085,0.0022694631276124304,0.08337645882461145,0.048063963651657104
0.0005,1e-06,mmd_rbf,0.1,0.80230809604477,0.6802471585249116,0.6771863347232638,0.005129375495016575,0.08991647342018358,0.05013277381658554,0.10759003066848294,0.2012028965080531,0.20233081405589282,0.002174601043476646,0.1090304962718335,0.03619459271430969
0.001,0.0001,mmd_rbf,1.0,0.7730856519892585,0.6792084973613536,0.6763401364268502,0.005434844642877579,0.10102400714671825,0.04171917214989662,0.09086565644223353,0.16477853056379027,0.16634481868547218,0.0018186506382933656,0.07570660630584228,0.03852447494864464
0.001,1e-06,mmd_linear,0.1,0.7868024779089391,0.6774583768413145,0.6759194931141785,0.005477807391434908,0.08504878124542062,0.03486517816781998,0.06680985328044174,0.15651681530581882,0.15769838552491613,0.001831196264072919,0.059972539060176876,0.04290976747870445
0.001,0.0001,mmd_rbf,0.5,0.7705407800078741,0.676754383288177,0.6739152765575324,0.005856245849281549,0.09526934237468673,0.04171258956193924,0.09135171096138289,0.16753359502804413,0.16906365466204587,0.001437848118045648,0.08847171261796698,0.03849057853221893
0.001,0.0001,mmd_rbf,0.1,0.7680740175815627,0.6760152034378077,0.6732144006554319,0.005950752645730972,0.09418104807101253,0.041682444512844086,0.08893398564321035,0.17043840714388875,0.17191717357914782,0.0015551553021198965,0.09403412924089495,0.038427647203207016
0.0005,0.0001,mmd_linear,0.1,0.7815126319361776,0.6670706701477876,0.6647692696844058,0.0057854817248880865,0.06036814045627,0.039797596633434296,0.06450785150214053,0.16730757607397984,0.16904157132915373,0.002549020877186345,0.07468309544524701,0.032652925699949265
0.001,1e-05,mmd_linear,0.1,0.788851349165515,0.6633772206639514,0.6620481284598408,0.005665928591042757,0.06686197139858778,0.03294125199317932,0.06695163568369944,0.1592981050491267,0.16035802713782457,0.002177531831087339,0.07511868779470746,0.04599593207240105
0.0005,1e-05,mmd_linear,0.1,0.7812771925214619,0.661991827375009,0.6598889532287691,0.005668442975729704,0.06975681320010274,0.04072720929980278,0.06731027362000568,0.19089199979053748,0.19230276531794546,0.0026703172183606583,0.08603956723154722,0.026744071394205093
5e-05,0.0001,mmd_rbf,0.5,0.8366612632522813,0.6628260141193396,0.6593270627239775,0.006237295921891928,0.08042287240579984,0.03567769005894661,0.05362720191557036,0.07760355453112772,0.0766947426054464,0.0018052767398097477,0.045272850529530465,0.02434162050485611
0.0001,1e-06,mmd_rbf,1.0,0.8504140101311254,0.6586626059539946,0.6556614754321195,0.006149538420140743,0.08295644180137328,0.03646940737962723,0.07167308222373482,0.040647405675889536,0.04006920986737424,0.0011538025085843155,0.03252178153231584,0.027506817132234573
0.0001,1e-06,mmd_rbf,0.5,0.8510137982521394,0.65815172346426,0.6551775965370364,0.0061457809060812,0.07490722686969419,0.0365937240421772,0.07262079269454763,0.041634592330025165,0.041117743587106466,0.0011456311962414604,0.04054856718173769,0.027734853327274323
0.0001,1e-06,mmd_rbf,0.1,0.8492771277838742,0.6558869387747002,0.652890268447673,0.0062305712141096595,0.07106379223824147,0.0367528572678566,0.07045994558311475,0.04608648649260431,0.04569210284212765,0.0011190777367973326,0.03768934417107435,0.0280527975410223
5e-05,1e-06,mmd_rbf,0.5,0.8404489076362767,0.6553620864573698,0.6518711362263537,0.005908303428441286,0.06810975061657842,0.03583206236362457,0.06514951835687387,0.08355579456124436,0.08304979597058038,0.0025852413385362687,0.05330757093561653,0.02420254983007908
0.0001,1e-05,mmd_rbf,0.1,0.8439129303404908,0.653669553809906,0.6507522448541245,0.005911963526159525,0.06629423827112506,0.037040870636701584,0.06472274775964854,0.04880161782278845,0.04843481504694787,0.001316274455574186,0.03443055518860396,0.02864084765315056
0.001,1e-06,mmd_linear,0.5,0.8439132921107166,0.6522121838021,0.6497932549714676,0.004065356124192477,0.06701549670215752,0.023851536214351654,0.07513719938937166,0.1281686496296932,0.12914589771724264,0.001137860067685052,0.0571078969666597,0.030734414234757423
5e-05,0.0001,mmd_rbf,1.0,0.8364530073531163,0.6523500081722149,0.6494696725392023,0.006124662607908249,0.07187894138840797,0.034366391599178314,0.05333211984852112,0.04658422834202373,0.04753673610780908,0.001928984807840095,0.03533070945662676,0.024316763505339622
5e-05,1e-05,mmd_rbf,0.5,0.8415566292564293,0.652316872382104,0.6487834581171016,0.00588895995169878,0.06422909574389876,0.036126695573329926,0.061407179822691345,0.09395640479275112,0.09357654920539323,0.002516460505177442,0.04687520705993523,0.024779517203569412
0.0001,1e-05,mmd_rbf,0.5,0.8446772046495378,0.6512382451702472,0.6483190272232207,0.006024539284408092,0.06690484617149092,0.03704005107283592,0.06438550307447695,0.049491247019288455,0.04915298502136402,0.0012129160274085564,0.03740039745290954,0.02864202670753002
0.0001,0.0001,mmd_rbf,0.1,0.846303556067084,0.6507356656778753,0.6478066455110747,0.006125764362514019,0.06178873376775028,0.03789312765002251,0.05915841241716209,0.04957911442562827,0.04927372540031258,0.0012545152930054306,0.038410217633269794,0.03037603758275509
0.0001,0.0001,mmd_linear,0.5,0.7702185848875563,0.6494088875354141,0.6476582522364676,0.004879972245544195,0.07131917214130572,0.03719647228717804,0.0955699881741018,0.1213977170007889,0.12243007480853033,0.0025224666844362357,0.09001397668198916,0.02880008891224861
0.0001,1e-05,mmd_rbf,1.0,0.8458659130131577,0.6502660215253397,0.647326588819024,0.0060417049564421175,0.08314731886017994,0.03702013939619064,0.06606717556634317,0.05104432528474143,0.05080145730331591,0.001211537747305171,0.037992663157860804,0.028618112206459045
0.001,1e-05,mmd_linear,0.5,0.8413192450679758,0.6492365967196326,0.646858949642892,0.004276894778013229,0.07101132854176308,0.024619348347187042,0.07856782143718014,0.12911800797025985,0.1301744936993607,0.0010908376694698974,0.04910240197899006,0.03236624225974083
0.0001,0.0001,mmd_rbf,0.5,0.84607607209525,0.6495605841396608,0.6466208349409086,0.006127293221652508,0.06445243498898254,0.037910811603069305,0.058669890385575095,0.05078318423372559,0.05041901425020149,0.0012468131936695006,0.03880888643991572,0.03042030893266201
0.0001,0.0001,mmd_rbf,1.0,0.8464329601638673,0.6495434327727068,0.6465726735816032,0.006047166883945465,0.07248823934170379,0.03792441636323929,0.05916478260864636,0.0514909780439237,0.051120292358860696,0.001194819332624678,0.04428024809974038,0.03047516755759716
5e-05,1e-06,mmd_rbf,1.0,0.8405089021038888,0.6483297102635596,0.6447527374618431,0.005427800957113505,0.06571279793002112,0.03561913222074509,0.06311308673230788,0.07513079980084643,0.07461642146009309,0.002305493601008338,0.030083529866274862,0.024212053045630455
0.0001,1e-06,mmd_linear,0.1,0.8256547934786619,0.6465502303039408,0.6438606637438428,0.005426936317235231,0.07424355392935675,0.035417668521404266,0.09743413589907024,0.05075620872327555,0.04993340270030772,0.0014939554018390572,0.061734426481418775,0.025762930512428284
5e-05,1e-05,mmd_rbf,0.1,0.8428101652422407,0.6461967047659397,0.6426296387453478,0.0052692082710564135,0.05009273809821413,0.03609802946448326,0.0610881701250591,0.09587687339688883,0.09532872099549383,0.002613919920394501,0.050711344927148176,0.02479150891304016
5e-05,1e-05,mmd_rbf,1.0,0.8422712032302704,0.6447682825798997,0.6411853550536033,0.005516985710710287,0.05526766071651472,0.03590528666973114,0.06019088649980692,0.08428836347976287,0.08392962873949915,0.0023825964858377497,0.04499244351195963,0.024770956486463547
0.001,0.0001,mmd_linear,0.5,0.8210521594396154,0.6426098442266442,0.6403587767014486,0.0038428946398198606,0.061277524223294966,0.02640727534890175,0.09789321805863901,0.12111463461309001,0.12195296331881854,0.0012567730799919643,0.04587567055029325,0.03652016445994377
0.0005,0.0001,mmd_linear,0.5,0.7792870568668805,0.6392694526734937,0.6387182293043512,0.005376645736396313,0.07374802204459387,0.033740539103746414,0.08605082172025189,0.162748065254532,0.1638163275105902,0.0031251836359511573,0.07433510684396154,0.03670290857553482
